实体1,实体2,关系
AutoML问题构成?,特征选择,question2answer
AutoML问题构成?,模型选择,question2answer
AutoML问题构成?,算法选择,question2answer
特征工程选择思路？,有监督的特征选择,question2answer
特征工程选择思路？,基于模型，lr的系数，树模型的importance等等,question2answer
特征工程选择思路？,基于选择，前项后项选择,question2answer
特征工程选择思路？,无监督的特征选择,question2answer
特征工程选择思路？,基于统计信息的，熵、相关性、KL系数,question2answer
特征工程选择思路？,基于方差，因子分解，PCA主成分分享，方差系数,question2answer
模型相关的选择思路?,模型选择,question2answer
模型相关的选择思路?,各自模型的优劣势，线性非线性，低阶特征/高阶特征交互，场景选择,question2answer
模型相关的选择思路?,参数选择,question2answer
模型相关的选择思路?,grid_search,question2answer
模型相关的选择思路?,random_search,question2answer
模型相关的选择思路?,...,question2answer
常见优化算法思路？,SGD,question2answer
常见优化算法思路？,GD,question2answer
常见优化算法思路？,LBFGS,question2answer
常见优化算法思路？,FTRL,question2answer
AutoML参数选择所使用的方法？,暴力搜索,question2answer
AutoML参数选择所使用的方法？,grid_search,question2answer
AutoML参数选择所使用的方法？,random_search,question2answer
AutoML参数选择所使用的方法？,拟合搜索,question2answer
AutoML参数选择所使用的方法？,贝叶斯优化,question2answer
AutoML参数选择所使用的方法？,其他方法,question2answer
AutoML参数选择所使用的方法？,Meta学习,question2answer
AutoML参数选择所使用的方法？,转移学习,question2answer
讲讲贝叶斯优化如何在automl上应用？,目的：通过拟合参数和模型能力之间的关系：模型能力=f(超参数)，找到最合适的超参数,question2answer
讲讲贝叶斯优化如何在automl上应用？,步骤：,question2answer
讲讲贝叶斯优化如何在automl上应用？,随机选取几个超参数进行f拟合，得到先验数据集合D,question2answer
讲讲贝叶斯优化如何在automl上应用？,根据先验数据D得到模型M,question2answer
讲讲贝叶斯优化如何在automl上应用？,根据模型M得到预测出一些较优超参数，并把该超参数对于的f结果加入原始数据集合D,question2answer
讲讲贝叶斯优化如何在automl上应用？,循环23两步直至达到条件,question2answer
讲讲贝叶斯优化如何在automl上应用？,问题：,question2answer
讲讲贝叶斯优化如何在automl上应用？,稳定性：同一组超参数的预测结果在不同轮次不一致,question2answer
讲讲贝叶斯优化如何在automl上应用？,f函数需要多次计算，资源耗费时间损失,question2answer
讲讲贝叶斯优化如何在automl上应用？,难以确定比较通用的拟合模型f,question2answer
讲讲贝叶斯优化如何在automl上应用？,手记：,question2answer
讲讲贝叶斯优化如何在automl上应用？,![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9n45r6f3nj30q40tkjz8.jpg),question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,随机生成若干超参点，更新gp模型,question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,根据gp模型选取最优推荐值,question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,推荐值附近随机生成点，根据cquisitionfunction选取附近点极值点，acquisitionfunction通常：,question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,基于GPUCB的最大置信上界,question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,基于均值和方差的平衡结果,question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,ThompsonSampling,question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,EI(期望提升),question2answer
以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,重复以上步骤,question2answer
写出全概率公式&贝叶斯公式,全概率公式：设事件![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wed60nzaj305i01cmx2.jpg)构成一个完备事件组，即它们两两不相容，和为全集且![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wedhjqtej304w01cjra.jpg)，则对任一事件A有：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8weetxaqxj30dk01e74b.jpg),question2answer
写出全概率公式&贝叶斯公式,贝叶斯公式：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wefkh3r5j30l203iq3c.jpg),question2answer
说说你怎么理解为什么有全概率公式&贝叶斯公式,全概率公式为全概率就是表示达到某个目的，有多种方式，算到达目的的概率。**key：算概率**,question2answer
说说你怎么理解为什么有全概率公式&贝叶斯公式,贝叶斯公式为当给定条件发生变化后，会导致事件发生的可能性发生何种变化。**key：概率变化**,question2answer
什么是先验概率,先验概率（priorprobability）：指根据以往经验和分析。在实验或采样前就可以得到的概率。key:简单的暴力统计,question2answer
什么是后验概率,后验概率（posteriorprobability）：指某件事已经发生，想要计算这件事发生的原因是由某个因素引起的概率。key：条件概率,question2answer
经典概率题,有一个木桶，里面有M个白球，小明每分钟从桶中随机取出一个球涂成红色（无论白或红都涂红）再放回，问小明将桶中球全部涂红的期望时间是多少？,question2answer
经典概率题,P[i]代表M个球中已经有i个球是红色后，还需要的时间期望，去将所有球都变成红色。,question2answer
经典概率题,P[i]=(i/M)*P[i]+(1i/M)*P[i+1]+1,question2answer
经典概率题,解释一下，每一次抽取，(i/M)概率不变，(1i/M)进入下一轮，额外加一次本次操作,question2answer
解释方差：,期望值与真实值之间的波动程度，衡量的是**稳定性**,question2answer
解释偏差：,期望值与真实值之间的一致差距，衡量的是**准确性**,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,优化监督学习=优化模型的泛化误差，模型的泛化误差可分解为偏差、方差与噪声之和,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,**Err=bias+var+irreducibleerror**,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,"以回归任务为例,其实更准确的公式为：**Err=bias^2+var+irreducibleerror^2**",question2answer
模型训练为什么要引入偏差和方差？请理论论证。,符号的定义：一个真实的任务可以理解为Y=f(x)+e，其中f(x)为规律部分，e为噪声部分,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,训练数据D训练的模型称之为![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lwz21bi9j300y00pdfl.jpg)，当我们使用相同的算法，但使用不同的训练数据D时就会得到多个![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lwz21bi9j300y00pdfl.jpg)。则![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lwzqiav7j301q00pq2p.jpg)代表了这个模型的期望，即使用某一算法训练模型所能得到的稳定的平均水平。,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,方差：模型的稳定性：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lx3a2qc3j306400ot8j.jpg),question2answer
模型训练为什么要引入偏差和方差？请理论论证。,偏差：模型的准确性：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lx6rqg34j305g00odfn.jpg),question2answer
模型训练为什么要引入偏差和方差？请理论论证。,"Err(x)=Err(f,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lx8dhkplj300e00m0s6.jpg))+Err(f,Y)",question2answer
模型训练为什么要引入偏差和方差？请理论论证。,"Err(f,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lx8dhkplj300e00m0s6.jpg))为可解释规则误差",question2answer
模型训练为什么要引入偏差和方差？请理论论证。,"Err(f,Y)为噪声e部分，即为![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxc64l5yj300g00b0pn.jpg)",question2answer
模型训练为什么要引入偏差和方差？请理论论证。,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxyj2g67j301k00mmwx.jpg)可推导如下：,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxkvx39gj30gh01b3yj.jpg),question2answer
模型训练为什么要引入偏差和方差？请理论论证。,f为真实值，固定；![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lwzqiav7j301q00pq2p.jpg)代表了这个模型不同数据预测结果的期望，固定；所以f![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lwzqiav7j301q00pq2p.jpg)固定,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxlzjp9hj305s00mt8j.jpg)中![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxm8gzmrj301z00mq2p.jpg)为常数。所以![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxlzjp9hj305s00mt8j.jpg)=![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxo2v9ozj30bw00m0sn.jpg)=0,question2answer
模型训练为什么要引入偏差和方差？请理论论证。,Err(x)=![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lxvudtfgj30cm00mjra.jpg),question2answer
什么情况下引发高方差？,过高复杂度的模型，对训练集进行过拟合,question2answer
什么情况下引发高方差？,带来的后果就是在训练集合上效果非常好，但是在校验集合上效果极差,question2answer
什么情况下引发高方差？,更加形象的理解就是用一条高次方程去拟合线性数据,question2answer
如何解决高方差问题？,在模型复杂程度不变的情况下，增加更多数据,question2answer
如何解决高方差问题？,在数据量不变的情况下，减少特征维度,question2answer
如何解决高方差问题？,在数据和模型都不变的情况下，加入正则化,question2answer
以上方法是否一定有效？,增加数据如果和原数据分布一致，无论增加多少必定解决不了高方差,question2answer
以上方法是否一定有效？,smote对样本进行扩充是否必定可以避免高方差？,question2answer
以上方法是否一定有效？,过采样是否解决高方差问题？,question2answer
以上方法是否一定有效？,减少的特征维度如果是共线性的维度，对原模型没有任何影响,question2answer
以上方法是否一定有效？,罗辑回归中，如果把一列特征重复2遍，会对最后的结果产生影响么？,question2answer
以上方法是否一定有效？,正则化通常都是有效的,question2answer
如何解决高偏差问题？,尝试获得更多的特征,question2answer
如何解决高偏差问题？,从数据入手，进行特征交叉，或者特征的embedding化,question2answer
如何解决高偏差问题？,尝试增加多项式特征,question2answer
如何解决高偏差问题？,从模型入手，增加更多线性及非线性变化，提高模型的复杂度,question2answer
如何解决高偏差问题？,尝试减少正则化程度λ,question2answer
以上方法是否一定有效？,特征越稀疏，高方差的风险越高,question2answer
以上方法是否一定有效？,多个线性变换=一个线性变换，多个非线性变换不一定=一个多线性变换,question2answer
以上方法是否一定有效？,正则化通常都是有效的,question2answer
遇到过的机器学习中的偏差与方差问题？,从偏差方差分解的角度看，Bagging主要关注降低方差，因此它在不剪枝决策树，神经网络等易受样本扰动的学习器上效果更为明显。,question2answer
遇到过的机器学习中的偏差与方差问题？,从偏差方差分解的角度看，Boosting主要关注降低偏差，因此Boosting能基于泛化性能相当弱的学习器构建出很强的集成。,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,基础：,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,bagging和boosting都要n个模型，假设基模型权重![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lyh07lb3j300a00c0ok.jpg)，相关系数![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lyi3r97uj300900c0oe.jpg)，方差![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lzqhhkfwj300h00g0rq.jpg)均相等,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,"Var(x,y)=Var(x)+Var(y)+2Cov(x,y)",question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,Bagging,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,Var(F)=![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lyk4wjxkj302v00qa9u.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,=![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lyp35ynkj308l00qglh.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,其中,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lypqw1tjj300d00c0q9.jpg)可以直接提取出来,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lyuaep07j308v00ya9x.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,所以，化简以上的式子可得：Var(F)=m*![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lyw59y9oj300h00g0rq.jpg)*![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lywg4870j300g00k0r2.jpg)+![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lyzygc4lj304300lgle.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,以上为通式，对于bagging来说，每个基模型的权重等于1/m且期望近似相等，所以![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lz1clt7wj301g011gld.jpg)，带入即可,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,Var(F)=![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lz7qrpwsj304f015t8i.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,E(F)=![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lz97enuuj3059011743.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,结论：,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,整体模型的期望近似于基模型的期望，这也就意味着整体模型的偏差和基模型的偏差近似,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,整体模型的方差小于等于基模型的方差（当相关性为1时取等号），随着基模型数（m）的增多，整体模型的方差减少，从而防止过拟合的能力增强，模型的准确度得到提高,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,bagging的防止过拟合的极限在1/m项趋近于0，所以并不是可以无穷的降低方差达到提高模型准确性的效果的,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,Boosting同理,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,boosting的前提是弱模型之间高度相关，我们不妨设相关度为1,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,Var(F)=![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lzwvy93dj302k00kmwx.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8lzj06hv1j304300qwea.jpg),question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,结论：,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,整体模型的期望近似于基模型的期望之和，模型越多期望越容易拟合真实值,question2answer
就理论角度论证Bagging、Boosting的方差偏差问题,整体模型的方差等于基模型的数量平方成正比，越多模型不稳定性越高，越容易过拟合。,question2answer
