:START_ID,name,:END_ID,:TYPE
-760795198447686328,question2answer,-2103435428496205022,question2answer
-760795198447686328,question2answer,4041928090793981474,question2answer
-760795198447686328,question2answer,7658352582883739683,question2answer
-2075868268917888440,question2answer,913846038743650802,question2answer
-2075868268917888440,question2answer,-763630344506983242,question2answer
-2075868268917888440,question2answer,7860774281964427877,question2answer
-2075868268917888440,question2answer,-3771065287648917614,question2answer
-2075868268917888440,question2answer,-7191526152840636190,question2answer
-2075868268917888440,question2answer,6418982922889454147,question2answer
4901152847416684831,question2answer,4041928090793981474,question2answer
4901152847416684831,question2answer,4963933650214818288,question2answer
4901152847416684831,question2answer,-9067626527982856525,question2answer
4901152847416684831,question2answer,-577076147715421701,question2answer
4901152847416684831,question2answer,2773173942682946348,question2answer
4901152847416684831,question2answer,1245082203728238683,question2answer
-6920708857250016975,question2answer,8640362550470026186,question2answer
-6920708857250016975,question2answer,-4057685107823617437,question2answer
-6920708857250016975,question2answer,-789812526419960589,question2answer
-6920708857250016975,question2answer,3975766294592884533,question2answer
4631031604782500179,question2answer,-2139967496852381041,question2answer
4631031604782500179,question2answer,-577076147715421701,question2answer
4631031604782500179,question2answer,2773173942682946348,question2answer
4631031604782500179,question2answer,5898354269198050453,question2answer
4631031604782500179,question2answer,-8248763977408450079,question2answer
4631031604782500179,question2answer,6940232707766487251,question2answer
4631031604782500179,question2answer,-5067127709965480728,question2answer
4631031604782500179,question2answer,-6926725997540355936,question2answer
-4885738194256334899,question2answer,-4792242359058403464,question2answer
-4885738194256334899,question2answer,-8542547077723901709,question2answer
-4885738194256334899,question2answer,-3271280540798858277,question2answer
-4885738194256334899,question2answer,3709391548306387043,question2answer
-4885738194256334899,question2answer,-4121662003414715997,question2answer
-4885738194256334899,question2answer,8759183425868713579,question2answer
-4885738194256334899,question2answer,2527977387435122326,question2answer
-4885738194256334899,question2answer,19230187226653455,question2answer
-4885738194256334899,question2answer,523414173424813563,question2answer
-4885738194256334899,question2answer,-7757263892166995469,question2answer
-4885738194256334899,question2answer,2445049760795710498,question2answer
-4885738194256334899,question2answer,2345562186161423224,question2answer
3878977373958787710,question2answer,-7060626487502033747,question2answer
3878977373958787710,question2answer,-2589081292951083084,question2answer
3878977373958787710,question2answer,-1382548492277825421,question2answer
3878977373958787710,question2answer,-6756416680312170743,question2answer
3878977373958787710,question2answer,6371517177325308206,question2answer
3878977373958787710,question2answer,7830901375912220150,question2answer
3878977373958787710,question2answer,4403946144715351439,question2answer
3878977373958787710,question2answer,-1642043111504719937,question2answer
-8161701324740748635,question2answer,-5316532734163977495,question2answer
-8161701324740748635,question2answer,2550358841723109107,question2answer
-893511198770585034,question2answer,-5013530208652397274,question2answer
-893511198770585034,question2answer,2017368835292621579,question2answer
-3211970729549838174,question2answer,1768280824663429715,question2answer
-2325716000997563512,question2answer,-4857441579708849800,question2answer
5124875688811623836,question2answer,-7843950277069824291,question2answer
5124875688811623836,question2answer,-1921336595448745491,question2answer
5124875688811623836,question2answer,22540938199230777,question2answer
5124875688811623836,question2answer,-3363636048235361005,question2answer
5018345540594936677,question2answer,2122935172097327069,question2answer
1631215494348242441,question2answer,-2850337277066073733,question2answer
-6630719895861107233,question2answer,-6507403449420574758,question2answer
-6630719895861107233,question2answer,-2214716850207361842,question2answer
-6630719895861107233,question2answer,9065648270968707104,question2answer
-6630719895861107233,question2answer,-733014017357138578,question2answer
-6630719895861107233,question2answer,1670983890316119987,question2answer
-6630719895861107233,question2answer,3692345326902018649,question2answer
-6630719895861107233,question2answer,2507288662872147717,question2answer
-6630719895861107233,question2answer,-204043643825471948,question2answer
-6630719895861107233,question2answer,4776590992016386698,question2answer
-6630719895861107233,question2answer,8021360176209240835,question2answer
-6630719895861107233,question2answer,2422716465892603723,question2answer
-6630719895861107233,question2answer,-7212167727018406164,question2answer
-6630719895861107233,question2answer,4392633406249571669,question2answer
-6630719895861107233,question2answer,-391154022892487624,question2answer
-6630719895861107233,question2answer,-6180074391962158636,question2answer
1359687012772021203,question2answer,-7011484731201233718,question2answer
1359687012772021203,question2answer,-840504421600434630,question2answer
1359687012772021203,question2answer,1316961732726362637,question2answer
1347268961153926339,question2answer,-4271585456982147704,question2answer
1347268961153926339,question2answer,9143994318414101698,question2answer
1347268961153926339,question2answer,-2055517854797455394,question2answer
-1143048225014598560,question2answer,-2976073563989116388,question2answer
-1143048225014598560,question2answer,-1737141008157665326,question2answer
-1143048225014598560,question2answer,-4479359075820615729,question2answer
-1143048225014598560,question2answer,-1236896535914032826,question2answer
-1143048225014598560,question2answer,6839129160301418045,question2answer
-1143048225014598560,question2answer,6760743838274040488,question2answer
-4235737746418844384,question2answer,3883133702476587606,question2answer
-4235737746418844384,question2answer,8837019951801615787,question2answer
-4235737746418844384,question2answer,5601151593920995311,question2answer
-4235737746418844384,question2answer,4458052543164542933,question2answer
-4235737746418844384,question2answer,-8476190329994616305,question2answer
-1143048225014598560,question2answer,-5092488147528657195,question2answer
-1143048225014598560,question2answer,-6920770915802972980,question2answer
-1143048225014598560,question2answer,6760743838274040488,question2answer
-599589028796307766,question2answer,7354006734636029435,question2answer
-599589028796307766,question2answer,-4073679096827835830,question2answer
7879153837735600148,question2answer,-6911500800146836861,question2answer
7879153837735600148,question2answer,-4699364746634772356,question2answer
7879153837735600148,question2answer,6717364313699229663,question2answer
7879153837735600148,question2answer,-8564949186885683729,question2answer
7879153837735600148,question2answer,888836136289232879,question2answer
7879153837735600148,question2answer,4439042625989132488,question2answer
7879153837735600148,question2answer,6751332456274658856,question2answer
7879153837735600148,question2answer,-7747921201510590472,question2answer
7879153837735600148,question2answer,-4101869730773578712,question2answer
7879153837735600148,question2answer,8783668830224350292,question2answer
7879153837735600148,question2answer,6401504875843429929,question2answer
7879153837735600148,question2answer,-348454429935094448,question2answer
7879153837735600148,question2answer,-1868777633596507557,question2answer
7879153837735600148,question2answer,583049835857465244,question2answer
7879153837735600148,question2answer,-1504590206347226056,question2answer
7879153837735600148,question2answer,694071875157860599,question2answer
7879153837735600148,question2answer,-1843826979696985927,question2answer
7879153837735600148,question2answer,-7528437266861774049,question2answer
7879153837735600148,question2answer,-8619923185843295769,question2answer
7879153837735600148,question2answer,6051476986340193471,question2answer
7879153837735600148,question2answer,8629624915525790465,question2answer
7879153837735600148,question2answer,583049835857465244,question2answer
7879153837735600148,question2answer,-4573762226682797351,question2answer
7879153837735600148,question2answer,3674247588268963480,question2answer
7879153837735600148,question2answer,4186210090869327396,question2answer
3046614069242078042,question2answer,3204588436375604308,question2answer
3046614069242078042,question2answer,5351616697921521118,question2answer
3046614069242078042,question2answer,5078622462571457239,question2answer
3046614069242078042,question2answer,-5719848535722755282,question2answer
3046614069242078042,question2answer,5287360046315345933,question2answer
3046614069242078042,question2answer,5659064747747620984,question2answer
-1391058988667858983,question2answer,8450591247457169144,question2answer
5853301435760088479,question2answer,4819144975587044971,question2answer
5853301435760088479,question2answer,6473324779957002950,question2answer
-8359707602930982806,question2answer,-2057590856015979601,question2answer
2340275878823081677,question2answer,5200094549228167010,question2answer
2340275878823081677,question2answer,1526839625073562025,question2answer
2340275878823081677,question2answer,-7041210013419388811,question2answer
2340275878823081677,question2answer,3357323141881905260,question2answer
2340275878823081677,question2answer,5815988042756072742,question2answer
2340275878823081677,question2answer,-1383138343991650556,question2answer
2340275878823081677,question2answer,-163664745497501079,question2answer
2340275878823081677,question2answer,-3642155314186992578,question2answer
2340275878823081677,question2answer,3802089480011676110,question2answer
6746622855080806576,question2answer,2793727365790697745,question2answer
6746622855080806576,question2answer,-4515934164242611552,question2answer
6746622855080806576,question2answer,-1790570935531700415,question2answer
6746622855080806576,question2answer,-8822031343605586311,question2answer
-233063588217617255,question2answer,-5636105324845060786,question2answer
-233063588217617255,question2answer,-7306605294320597816,question2answer
-233063588217617255,question2answer,-1738214754572794854,question2answer
-233063588217617255,question2answer,-6950341451861544807,question2answer
-233063588217617255,question2answer,5473148620752780075,question2answer
-1696229910865698849,question2answer,-7605289102165585013,question2answer
-1696229910865698849,question2answer,159679227244321695,question2answer
3707097639791704864,question2answer,5519047409645820106,question2answer
-2359689809339291204,question2answer,7815527886836580889,question2answer
-2359689809339291204,question2answer,1100788327784246010,question2answer
-5598920719335079954,question2answer,5074935591658214080,question2answer
-5598920719335079954,question2answer,-7158872601133996879,question2answer
4322221967311684793,question2answer,-3731620789115354377,question2answer
-5277376401305018885,question2answer,-8419838087451552332,question2answer
7970083223646440776,question2answer,9200318499420529669,question2answer
7970083223646440776,question2answer,-3611657747496778334,question2answer
8382886378727396832,question2answer,8698977729312276067,question2answer
8382886378727396832,question2answer,8969456447148984364,question2answer
8382886378727396832,question2answer,9018046688980418450,question2answer
8382886378727396832,question2answer,3585958378914034940,question2answer
8382886378727396832,question2answer,-5394779047016045734,question2answer
-2420452844847899030,question2answer,216929694822553820,question2answer
-2420452844847899030,question2answer,9104162060795596778,question2answer
-5863683152225083187,question2answer,1253877235615432345,question2answer
-5863683152225083187,question2answer,477238958923450626,question2answer
-5863683152225083187,question2answer,8985207697620957026,question2answer
-3448099698632601332,question2answer,6941934465148500683,question2answer
-5754827622520933087,question2answer,2605191490587757169,question2answer
-5754827622520933087,question2answer,7649213093085373348,question2answer
-5754827622520933087,question2answer,2335308856474141051,question2answer
-5754827622520933087,question2answer,-6738568454080623565,question2answer
8074075437499887269,question2answer,742400133774514548,question2answer
8074075437499887269,question2answer,-5027536859274208434,question2answer
8074075437499887269,question2answer,-1209258354781349149,question2answer
-794460191961475147,question2answer,8550286657403277349,question2answer
-794460191961475147,question2answer,5886150795539071019,question2answer
5419731649903846599,question2answer,-1539369156964012348,question2answer
5419731649903846599,question2answer,6349813992489246648,question2answer
5419731649903846599,question2answer,-2233012644824104230,question2answer
5419731649903846599,question2answer,-1315645112412297424,question2answer
5419731649903846599,question2answer,1827897526533455488,question2answer
5419731649903846599,question2answer,2555786661696966302,question2answer
5419731649903846599,question2answer,-2476307248236212223,question2answer
8942259571777549000,question2answer,8674784096997363342,question2answer
8942259571777549000,question2answer,1899672678848853803,question2answer
8942259571777549000,question2answer,-7860734794646293057,question2answer
4038081751342663937,question2answer,-5118271235254843765,question2answer
4038081751342663937,question2answer,1243196257966772001,question2answer
4038081751342663937,question2answer,-4502397175118797565,question2answer
4038081751342663937,question2answer,955817711600635413,question2answer
4038081751342663937,question2answer,-5251904250361578996,question2answer
4038081751342663937,question2answer,3148419891788998806,question2answer
4038081751342663937,question2answer,40000585434539938,question2answer
4038081751342663937,question2answer,-3476047547211462050,question2answer
4038081751342663937,question2answer,3536680756119308874,question2answer
4038081751342663937,question2answer,7433357258575394208,question2answer
4038081751342663937,question2answer,-3998430547018744313,question2answer
4038081751342663937,question2answer,6541870093517486381,question2answer
4038081751342663937,question2answer,8343889960334004682,question2answer
4038081751342663937,question2answer,-6494259259423768511,question2answer
4038081751342663937,question2answer,3929721988894366452,question2answer
4038081751342663937,question2answer,2427328439807711065,question2answer
4038081751342663937,question2answer,-2976669333966267655,question2answer
5973609548819161561,question2answer,-7542148996172784953,question2answer
5973609548819161561,question2answer,5300980280227158191,question2answer
5973609548819161561,question2answer,-2732828395226151488,question2answer
-7184560090684525391,question2answer,-8821118894610593742,question2answer
-7184560090684525391,question2answer,-8253545362480690443,question2answer
-7184560090684525391,question2answer,4781375303850922612,question2answer
1726570748939866687,question2answer,-1096789570459494455,question2answer
1726570748939866687,question2answer,6991916320296638446,question2answer
1726570748939866687,question2answer,-2979891755179191862,question2answer
1726570748939866687,question2answer,226757955700860852,question2answer
1726570748939866687,question2answer,-1268491427235833046,question2answer
8635324457756903156,question2answer,5393061819201529265,question2answer
8635324457756903156,question2answer,7198299250116778904,question2answer
8635324457756903156,question2answer,7695495398530729161,question2answer
8635324457756903156,question2answer,7647426171228187500,question2answer
8635324457756903156,question2answer,6775188245542094186,question2answer
8635324457756903156,question2answer,-6748217631791407239,question2answer
8635324457756903156,question2answer,3571068476832561360,question2answer
8635324457756903156,question2answer,5129988222959969400,question2answer
8635324457756903156,question2answer,6989066252162582279,question2answer
-8658699901894495495,question2answer,-7610826092743125701,question2answer
2852564861225681232,question2answer,-1406447243637505986,question2answer
2852564861225681232,question2answer,-8335721295944316353,question2answer
-6026373868502902333,question2answer,-4564121772185578318,question2answer
-6026373868502902333,question2answer,5793736121184555402,question2answer
-6026373868502902333,question2answer,5245658738494194348,question2answer
-6026373868502902333,question2answer,-8267551977384273558,question2answer
-6026373868502902333,question2answer,8018170279958915803,question2answer
9170315617208402730,question2answer,4980177711123510028,question2answer
-6634526480433587570,question2answer,4208197667025527278,question2answer
-6634526480433587570,question2answer,-1550789274193128823,question2answer
-6634526480433587570,question2answer,-1935451954663698383,question2answer
-6634526480433587570,question2answer,3486512301100372229,question2answer
1816412042671728610,question2answer,-7467423662790064210,question2answer
5024601942554871712,question2answer,3873911655695373258,question2answer
-3655443734443093934,question2answer,-8366941154788979990,question2answer
9101607865394201137,question2answer,-4011829743154869308,question2answer
-3619221641409508465,question2answer,-6748217631791407239,question2answer
-2018672648225329185,question2answer,-6005586898084224264,question2answer
-9150762617080584843,question2answer,8341065089536721446,question2answer
-9150762617080584843,question2answer,4507300408847522204,question2answer
-9150762617080584843,question2answer,4022966367187489968,question2answer
-9150762617080584843,question2answer,-8366941154788979990,question2answer
-9150762617080584843,question2answer,2074767556870417210,question2answer
-9150762617080584843,question2answer,-8855249330631245772,question2answer
-9150762617080584843,question2answer,-5506862634946320955,question2answer
-9150762617080584843,question2answer,2822655016451351523,question2answer
-9150762617080584843,question2answer,-7995611222953948815,question2answer
-9150762617080584843,question2answer,-5925751573099583488,question2answer
-9150762617080584843,question2answer,1698469675055523686,question2answer
-9150762617080584843,question2answer,6412419929740853821,question2answer
-9150762617080584843,question2answer,6690718122798995415,question2answer
-9150762617080584843,question2answer,3121268649013914834,question2answer
-9150762617080584843,question2answer,2192841826434386516,question2answer
-9150762617080584843,question2answer,7445838770015729374,question2answer
-9150762617080584843,question2answer,7171201128281073677,question2answer
-9150762617080584843,question2answer,8835560683667717532,question2answer
5226874859901596829,question2answer,-1851214313614129820,question2answer
5226874859901596829,question2answer,-2088075203108016683,question2answer
5226874859901596829,question2answer,-3878464456023675033,question2answer
5226874859901596829,question2answer,2221344312005706128,question2answer
6940232707766487251,question2answer,5621764112396355393,question2answer
6940232707766487251,question2answer,2479990942912131001,question2answer
6991770472426875543,question2answer,-6419411637945390593,question2answer
6991770472426875543,question2answer,-5269435342632425916,question2answer
6991770472426875543,question2answer,-769874878791152740,question2answer
6991770472426875543,question2answer,-7991860942203501570,question2answer
-5355003644046037778,question2answer,8158454173042422280,question2answer
-5355003644046037778,question2answer,-393416357690934955,question2answer
-5355003644046037778,question2answer,-6211041571506591558,question2answer
-5355003644046037778,question2answer,-2691319516548064673,question2answer
-5355003644046037778,question2answer,5671144745355790619,question2answer
-5355003644046037778,question2answer,-3725582857412979054,question2answer
-5355003644046037778,question2answer,7004811862121870615,question2answer
-2774611997239814991,question2answer,-6364571325739000757,question2answer
-448667838935971536,question2answer,-8304786406637992254,question2answer
1097579729071702837,question2answer,6654817774177864099,question2answer
-5940383905461096879,question2answer,4349951249975468960,question2answer
-725543027068645563,question2answer,-278510597889827605,question2answer
-725543027068645563,question2answer,-5327129162614682250,question2answer
1585529481579859869,question2answer,3287690773160557949,question2answer
1585529481579859869,question2answer,7078082751749508433,question2answer
1585529481579859869,question2answer,6511827801560628731,question2answer
-1712288761157982664,question2answer,6623850494262172031,question2answer
-1712288761157982664,question2answer,7078082751749508433,question2answer
-1712288761157982664,question2answer,224403496526638992,question2answer
-1712288761157982664,question2answer,-8056908197675354312,question2answer
-2966802032878178908,question2answer,6561923314848222903,question2answer
-2966802032878178908,question2answer,-5863039179139063574,question2answer
-2966802032878178908,question2answer,-6302154571360341183,question2answer
-2966802032878178908,question2answer,-2162189494647673688,question2answer
9043962032853393811,question2answer,-53013097870470249,question2answer
9043962032853393811,question2answer,6899078626756994332,question2answer
9043962032853393811,question2answer,2526329363020383811,question2answer
9043962032853393811,question2answer,8286720439213621551,question2answer
9043962032853393811,question2answer,883415775508340379,question2answer
9043962032853393811,question2answer,-9057868565375155353,question2answer
-807621070423342161,question2answer,1953976528444577042,question2answer
5423873318277177385,question2answer,-7372356708439201780,question2answer
5423873318277177385,question2answer,1713348782905521640,question2answer
5423873318277177385,question2answer,8114071719926431735,question2answer
5423873318277177385,question2answer,282327079994266824,question2answer
5072244282816324191,question2answer,-8285129350657782143,question2answer
5072244282816324191,question2answer,-3847484638029298675,question2answer
6785135892459336296,question2answer,8610936714333747765,question2answer
6785135892459336296,question2answer,3400671768908777120,question2answer
-8858472519123582777,question2answer,7919292386288231291,question2answer
-8858472519123582777,question2answer,8116449803011058922,question2answer
-8858472519123582777,question2answer,3136829534100409745,question2answer
-6328973675783661092,question2answer,5953151189161948948,question2answer
-6328973675783661092,question2answer,-6313296499794387181,question2answer
-6328973675783661092,question2answer,8874597114899192891,question2answer
206728880193059552,question2answer,-8712734336172781723,question2answer
206728880193059552,question2answer,8548163085986028196,question2answer
206728880193059552,question2answer,6723606046435716643,question2answer
206728880193059552,question2answer,3329139864906746918,question2answer
206728880193059552,question2answer,3085731683275538933,question2answer
-5818016140031778507,question2answer,-7592403064084806089,question2answer
-5818016140031778507,question2answer,-8733266718117768566,question2answer
-5818016140031778507,question2answer,-8094477874823255696,question2answer
-5818016140031778507,question2answer,6742956313533239306,question2answer
4211817258629448001,question2answer,1709487402032323563,question2answer
4211817258629448001,question2answer,-7592403064084806089,question2answer
4211817258629448001,question2answer,-3246206372398309549,question2answer
4211817258629448001,question2answer,-8303726745290962951,question2answer
-1281972474977320676,question2answer,242897760026382990,question2answer
-7300420164915352591,question2answer,-5942843378076937941,question2answer
8066926376943784911,question2answer,-2693868727601049167,question2answer
8066926376943784911,question2answer,5747394601710814701,question2answer
8066926376943784911,question2answer,7578293378069828861,question2answer
-7707513113877203403,question2answer,8879992570336779437,question2answer
-8442782436782295534,question2answer,-721131962831853951,question2answer
5199853639570631415,question2answer,-7354846326910509857,question2answer
5199853639570631415,question2answer,-3796879499793283906,question2answer
708492972345550094,question2answer,-7843880446284488613,question2answer
708492972345550094,question2answer,6950074001357719072,question2answer
7138155078292811173,question2answer,-3006485380985932218,question2answer
7138155078292811173,question2answer,-4725958549048758722,question2answer
7138155078292811173,question2answer,4800888254794111355,question2answer
7138155078292811173,question2answer,8137367792907543912,question2answer
3105618433220790235,question2answer,-7824303744078065883,question2answer
3105618433220790235,question2answer,103677003216988331,question2answer
3105618433220790235,question2answer,2362312339900490198,question2answer
3105618433220790235,question2answer,6765844282768289589,question2answer
-8442782436782295534,question2answer,-6059535317857575625,question2answer
-8442782436782295534,question2answer,3031678749101902912,question2answer
-8442782436782295534,question2answer,7176958568392767927,question2answer
-1464576635479891763,question2answer,-4507534976841792048,question2answer
-1464576635479891763,question2answer,7003394913176383180,question2answer
3510063677937010394,question2answer,7776727688794084776,question2answer
3510063677937010394,question2answer,6024669128193226916,question2answer
3510063677937010394,question2answer,1475161169215007139,question2answer
3510063677937010394,question2answer,5092425697139714872,question2answer
2396283109794290723,question2answer,4260017884481129217,question2answer
2396283109794290723,question2answer,7858854040411054434,question2answer
2396283109794290723,question2answer,1253538768912298362,question2answer
-5389898035445895273,question2answer,8705897928441978325,question2answer
-5389898035445895273,question2answer,3049793549390890440,question2answer
-5389898035445895273,question2answer,3777390215761286807,question2answer
-2871248942578116006,question2answer,6850832732153225104,question2answer
6357816442943426159,question2answer,-2846449081046200343,question2answer
6357816442943426159,question2answer,7341081381123544121,question2answer
6357816442943426159,question2answer,-3057611148037247114,question2answer
6357816442943426159,question2answer,-1919599392443612141,question2answer
6355160086335492094,question2answer,2221344312005706128,question2answer
6355160086335492094,question2answer,-3646821570676394763,question2answer
6355160086335492094,question2answer,1155428306009933858,question2answer
6355160086335492094,question2answer,-2913559977826046863,question2answer
6355160086335492094,question2answer,1330732700853179263,question2answer
6355160086335492094,question2answer,-7844548105954774602,question2answer
6355160086335492094,question2answer,-4678871516115215712,question2answer
6355160086335492094,question2answer,893422785288171158,question2answer
6355160086335492094,question2answer,5022371395463138013,question2answer
6355160086335492094,question2answer,1330732700853179263,question2answer
6355160086335492094,question2answer,2221344312005706128,question2answer
-2067415441552551001,question2answer,6471280280827314514,question2answer
-2067415441552551001,question2answer,-3791827058965126802,question2answer
-1381918510893845359,question2answer,4024443754798874969,question2answer
-1381918510893845359,question2answer,-3447201635020927927,question2answer
-1381918510893845359,question2answer,5515626025977230648,question2answer
-1381918510893845359,question2answer,3719337037186314750,question2answer
-1381918510893845359,question2answer,6814750028694920201,question2answer
1237103148883053696,question2answer,-7587290786712379180,question2answer
1237103148883053696,question2answer,-6427019373406520185,question2answer
1237103148883053696,question2answer,-1964831700261697881,question2answer
1237103148883053696,question2answer,562790841596578188,question2answer
1237103148883053696,question2answer,-6016552776261888694,question2answer
1237103148883053696,question2answer,9140862082363415505,question2answer
1237103148883053696,question2answer,-4296649260230637919,question2answer
3095269185501462695,question2answer,-4415695384910422538,question2answer
3095269185501462695,question2answer,4151088691598871099,question2answer
3095269185501462695,question2answer,1576717704334346736,question2answer
3095269185501462695,question2answer,-8018429297363776537,question2answer
3095269185501462695,question2answer,5700397476019990954,question2answer
3095269185501462695,question2answer,-6381794096613393478,question2answer
3095269185501462695,question2answer,7466264943733087084,question2answer
3095269185501462695,question2answer,6961577936197373001,question2answer
3095269185501462695,question2answer,-5264855477297911555,question2answer
3095269185501462695,question2answer,-3134845913432826567,question2answer
3095269185501462695,question2answer,5919971798910773045,question2answer
3095269185501462695,question2answer,1919405134982180219,question2answer
3095269185501462695,question2answer,3657162960337993535,question2answer
3095269185501462695,question2answer,-2234906094558320723,question2answer
3095269185501462695,question2answer,8123095226541758355,question2answer
3095269185501462695,question2answer,6734256808223819819,question2answer
3095269185501462695,question2answer,-1656766438680601100,question2answer
3095269185501462695,question2answer,2860979937952398771,question2answer
5849469982824099920,question2answer,-4231732632408560867,question2answer
5849469982824099920,question2answer,842326597379328029,question2answer
5849469982824099920,question2answer,19264605160471329,question2answer
5849469982824099920,question2answer,-379953004773212748,question2answer
5849469982824099920,question2answer,-8374883323951181034,question2answer
5849469982824099920,question2answer,8192368858953626188,question2answer
5849469982824099920,question2answer,-2696267579992309711,question2answer
5849469982824099920,question2answer,6843551864432745591,question2answer
5849469982824099920,question2answer,897107352973402709,question2answer
5849469982824099920,question2answer,5348803601696498436,question2answer
4637383168815041322,question2answer,-2489839743169891054,question2answer
4637383168815041322,question2answer,-4309672187449971985,question2answer
-6232159833030152063,question2answer,4077764194149126316,question2answer
-6232159833030152063,question2answer,6632381298958005304,question2answer
-8889067267231713980,question2answer,-4171816755710025319,question2answer
-8889067267231713980,question2answer,8996197060978468180,question2answer
-8889067267231713980,question2answer,-7335635866719831823,question2answer
-8889067267231713980,question2answer,-1190430548417035448,question2answer
-8889067267231713980,question2answer,675397106794938765,question2answer
-8889067267231713980,question2answer,5964058821692571043,question2answer
-8889067267231713980,question2answer,-4193286709383767093,question2answer
-8889067267231713980,question2answer,2064738164042609827,question2answer
-8889067267231713980,question2answer,7937734001490548638,question2answer
-4634696187433983046,question2answer,3721574207380062665,question2answer
-4634696187433983046,question2answer,-4627437899916407147,question2answer
-8890674241826804384,question2answer,3638128001610077390,question2answer
-8890674241826804384,question2answer,4877419086850196027,question2answer
-8890674241826804384,question2answer,-8742006723217211794,question2answer
-8890674241826804384,question2answer,8067668981339319211,question2answer
-8890674241826804384,question2answer,-2641158538884515097,question2answer
-418649848180980998,question2answer,3134633603086858949,question2answer
-418649848180980998,question2answer,1622411140970498375,question2answer
-418649848180980998,question2answer,-2676737863783670069,question2answer
-3950916339468957555,question2answer,1227671378249493085,question2answer
-3950916339468957555,question2answer,8674001385248714904,question2answer
-3950916339468957555,question2answer,607218849341284723,question2answer
3527642468920719739,question2answer,2424019200324656778,question2answer
3527642468920719739,question2answer,-7116986342290192271,question2answer
3527642468920719739,question2answer,5022968471735253116,question2answer
3527642468920719739,question2answer,5591784523057089922,question2answer
3527642468920719739,question2answer,1612916689629341139,question2answer
3527642468920719739,question2answer,-1743100014438749882,question2answer
3527642468920719739,question2answer,4937072691742720637,question2answer
3527642468920719739,question2answer,-1388663601699248265,question2answer
3527642468920719739,question2answer,-3728837311649438854,question2answer
3527642468920719739,question2answer,-6057615709363668905,question2answer
3527642468920719739,question2answer,-6697995379474958779,question2answer
3527642468920719739,question2answer,-5570844803910172736,question2answer
3527642468920719739,question2answer,-2385427454031233568,question2answer
3527642468920719739,question2answer,-3322398126167609217,question2answer
3527642468920719739,question2answer,7615414869616595270,question2answer
